model_id,seed,architecture,file_size_bytes,model_sha256,state_dict_tensor_count,load_seconds,inference_seconds,rss_before_bytes,rss_after_load_bytes,model_rss_delta_bytes,observed_peak_rss_bytes,validation_metrics,positive_probability,mae_to_ensemble,selected
seed_2024,2024,attention_path_ct_clinical,3075485,40e9fbed0da4fa915626e5c0bc6874a10a9129448271614fd011d31c46deeb17,66,0.13711989999865182,0.08217930000682827,341700608,350535680,8835072,353869824,,0.5726384520530701,0.05530891567468643,True
seed_3407,3407,attention_path_ct_clinical,3075485,4fa777ae618dcc02d8bbc54b2639a3eb27aa753947495b6ab52c1c2eed1786bf,66,0.03716079999867361,0.0075372999999672174,353882112,355123200,1241088,355164160,,0.9889442920684814,0.36099692434072495,False
seed_5280,5280,attention_path_ct_clinical,3075485,1055d45ddd20d3d698eff4a52a8eafc2ca92f21490da68bc2aa45962224c18c5,66,0.036032499992870726,0.007757500003208406,354050048,354848768,798720,354889728,,0.9917367100715637,0.3637893423438072,False
seed_7319,7319,attention_path_ct_clinical,3075485,a33005e650467af354711ce14dd65ad6b70d72d49d4dc2030ce5dd7732ac769a,66,0.03491839999333024,0.009315899995272048,354103296,354897920,794624,354959360,,0.5176229476928711,0.1103244200348854,False
seed_9021,9021,attention_path_ct_clinical,3075485,385e104e86ca3cc3aea8d8fd26d6f2eb7c8224654149ba8c87e93f3372abed30,66,0.03514809999614954,0.006384499996784143,354172928,354959360,786432,354959360,,0.06879443675279617,0.5591529309749603,False
